study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	study_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJEB6456	SAMEA2579915	ERS473033	ERX490933	ERR525698	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1356243639;1405618762	895a8d7ba79e4264689ea4afcbbee41e;185ca931b98905b57dbc10958eb7a3d0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525698/ERR525698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525698/ERR525698_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525698/ERR525698_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525698/ERR525698_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525698/ERR525698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525698/ERR525698_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525698/10_B.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525698/10_B.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525698	10_B	Stool sample from danish
PRJEB6456	SAMEA2579916	ERS473034	ERX490934	ERR525699	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1908129902;1973904571	1ad99105531c1502706f6b21b063dc39;1699e2e20fc543d6396d2fe0b393a00e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525699/ERR525699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525699/ERR525699_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525699/ERR525699_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525699/ERR525699_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525699/ERR525699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525699/ERR525699_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525699/10_M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525699/10_M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525699	10_M	Stool sample from danish
PRJEB6456	SAMEA2579917	ERS473035	ERX490935	ERR525700	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	2278635821;2274517019	7da979f710d02f1ea026e697f584435c;c5c2e119cf92d1c1300793b2ffbd970b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525700/ERR525700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525700/ERR525700_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525700/ERR525700_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525700/ERR525700_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525700/ERR525700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525700/ERR525700_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525700/1_12M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525700/1_12M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525700	1_12M	Stool sample from danish
PRJEB6456	SAMEA2579918	ERS473036	ERX490936	ERR525701	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1360341761;1299098628	9cccc3f0d425c8bf313dc38b7b2c946e;ce98ef81f8a1a2b8dc43a8ded153dcb5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525701/ERR525701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525701/ERR525701_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525701/ERR525701_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525701/ERR525701_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525701/ERR525701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525701/ERR525701_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525701/12_12M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525701/12_12M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525701	12_12M	Stool sample from danish
PRJEB6456	SAMEA2579919	ERS473037	ERX490937	ERR525702	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1337487899;1274709097	5ec769126f51d4fa2a8ce1db84f284a6;68385395a3cd0fd71eeb312c641fbff7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525702/ERR525702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525702/ERR525702_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525702/ERR525702_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525702/ERR525702_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525702/ERR525702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525702/ERR525702_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525702/12_4M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525702/12_4M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525702	12_4M	Stool sample from danish
PRJEB6456	SAMEA2579920	ERS473038	ERX490938	ERR525703	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1825602399;1828104652	f6977486a6739a3ab08824a02b198f81;8b5ca822398580c51dd9c0b53c506b2b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525703/ERR525703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525703/ERR525703_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525703/ERR525703_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525703/ERR525703_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525703/ERR525703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525703/ERR525703_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525703/128_12M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525703/128_12M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525703	128_12M	Stool sample from danish
PRJEB6456	SAMEA2579921	ERS473039	ERX490939	ERR525704	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1608739578;1615790961	b221b65000282677fc79810b1c84eaf8;9061d6a66a829205cfd706d732156db1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525704/ERR525704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525704/ERR525704_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525704/ERR525704_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525704/ERR525704_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525704/ERR525704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525704/ERR525704_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525704/128_4M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525704/128_4M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525704	128_4M	Stool sample from danish
PRJEB6456	SAMEA2579922	ERS473040	ERX490940	ERR525705	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1458274719;1474737244	b84b5df42e8d5eef74403f46a2ce184e;edb638e3fc5cbd868d5b925235cf8ade	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525705/ERR525705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525705/ERR525705_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525705/ERR525705_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525705/ERR525705_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525705/ERR525705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525705/ERR525705_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525705/128_B.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525705/128_B.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525705	128_B	Stool sample from danish
PRJEB6456	SAMEA2579923	ERS473041	ERX490941	ERR525706	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1873930947;1879068940	90eb0438e10955bf4a4d95c45d49b76b;9e4e7bcaeb281068efee2d8051276ba7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525706/ERR525706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525706/ERR525706_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525706/ERR525706_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525706/ERR525706_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525706/ERR525706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525706/ERR525706_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525706/128_M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525706/128_M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525706	128_M	Stool sample from danish
PRJEB6456	SAMEA2579924	ERS473042	ERX490942	ERR525707	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1107163837;1052092199	2acfe6bed6545289e553a0623e96ae32;dd05d19b436ddf9cb5916973af90cccd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525707/ERR525707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525707/ERR525707_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525707/ERR525707_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525707/ERR525707_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525707/ERR525707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525707/ERR525707_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525707/12_B.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525707/12_B.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525707	12_B	Stool sample from danish
PRJEB6456	SAMEA2579925	ERS473043	ERX490943	ERR525708	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1322290663;1264743928	04207d3521aa93cf6fb593bd4e9e6051;ed51bd71f595c17b19189840f3508d7b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525708/ERR525708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525708/ERR525708_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525708/ERR525708_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525708/ERR525708_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525708/ERR525708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525708/ERR525708_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525708/12_M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525708/12_M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525708	12_M	Stool sample from danish
PRJEB6456	SAMEA2579926	ERS473044	ERX490944	ERR525709	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	2442157150;2453650097	3dfd928ac5db1b58a47959653268ee4c;37aa18f613138fd67e2d9b58e4e1be6e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525709/ERR525709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525709/ERR525709_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525709/ERR525709_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525709/ERR525709_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525709/ERR525709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525709/ERR525709_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525709/130_12M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525709/130_12M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525709	130_12M	Stool sample from danish
