,Blautia obeum,Dorea sp CAG 317,Dorea longicatena,Blautia wexlerae,Blautia sp CAG 257,Roseburia faecis,Dorea formicigenerans,Roseburia hominis,Ruminococcus gnavus,Gemmiger formicilis,Ruminococcus torques,Alistipes shahii,Eubacterium hallii,Coprococcus comes,Coprococcus catus,Roseburia sp CAG 309,Eubacterium ramulus,Roseburia sp CAG 471,Eubacterium eligens,Dialister invisus,Roseburia intestinalis,Bacteroides dorei,Alistipes putredinis,Alistipes finegoldii,Ruminococcus bromii,Eubacterium sp CAG 38,Clostridium sp CAG 58,Anaerostipes hadrus,Roseburia inulinivorans,Eubacterium ventriosum,Clostridium sp CAG 167,Bacteroides ovatus,Bacteroides caccae,Alistipes indistinctus,Eisenbergiella tayi,Ruminococcus lactaris,Lactobacillus rogosae,Bacteroides fragilis,Bacteroides vulgatus,Bacteroides eggerthii,Bacteroides uniformis,Bacteroides stercoris,Oscillibacter sp 57 20,Lachnospira pectinoschiza,Ruminococcus bicirculans,Flavonifractor plautii,Bacteroides salyersiae,Clostridium bolteae,Bacteroides finegoldii,Streptococcus salivarius,Eggerthella lenta,Coprobacter fastidiosus,Bacteroides intestinalis,Butyricimonas virosa,Oscillibacter sp CAG 241,Bacteroides massiliensis,Bacteroides xylanisolvens,Streptococcus thermophilus,Odoribacter splanchnicus,Streptococcus parasanguinis,Parabacteroides merdae,Turicimonas muris,Eisenbergiella massiliensis,Bacteroides cellulosilyticus,Bacteroides thetaiotaomicron,Paraprevotella xylaniphila,Barnesiella intestinihominis,Agathobaculum butyriciproducens,Butyricimonas synergistica,Parabacteroides distasonis,Faecalibacterium prausnitzii,Parabacteroides goldsteinii,Gordonibacter pamelaeae,[Collinsella] massiliensis,Collinsella stercoris,Clostridium leptum,Enterorhabdus caecimuris,Escherichia coli,Holdemania filiformis,Monoglobus pectinilyticus,Ruthenibacterium lactatiformans,Asaccharobacter celatus,Eubacterium siraeum,Fusicatenibacter saccharivorans,Eubacterium rectale,Collinsella aerofaciens,Collinsella intestinalis,Adlercreutzia equolifaciens,Akkermansia muciniphila,Anaeromassilibacillus sp An250,Bifidobacterium longum,Bilophila wadsworthia,Lawsonibacter asaccharolyticus,Intestinimonas butyriciproducens,Bifidobacterium adolescentis,Clostridium spiroforme,Parasutterella excrementihominis,Phascolarctobacterium faecium,Firmicutes bacterium CAG 94,Firmicutes bacterium CAG 95,Firmicutes bacterium CAG 83,Firmicutes bacterium CAG 110,Firmicutes bacterium CAG 145,Proteobacteria bacterium CAG 139,SampNum,WeekNum,Participant_ID
102405_s3,0.0027897,0,0.0113588,0.0011105,0,0.0399775,0.0032976,0.0028879,0,0,0.0070092,0.0078463,0.00843,0.0039122,0.0021513,0.0006074,0.0004115,0,0,0,0.0089652,0.00738,0.0021798,0.0013179,0.0141449,0,0.0017515,0.0094589,0.0334832,0,0,0.0012333,0,0.0073022,0,0.0021081,0.0053436,0,0.0109582,0,0.0005001,0,0.0034522,0.0442755,0.0496528,0,0.0035334,0,0.0020487,0.001021,0,0,0.0016986,0.0003633,0.0033528,0,0.0046275,0.0013891,0.0036026,0.0001441,0.0122113,0,0,0,0.0210568,0.00155,0,0.0031418,0,0.0120301,0.1107987,0.0050033,0,0,0,0,0,0,0.0001221,0,7.04e-05,0,0,0.011075,0.0095718,0.0083523,0,0,0,0,0,0,0.000525,0.0001958,0,0,0,0,0,0.0086219,0,0,0,0,3,2,102405
102405_s4,0.0019007,0,0.0167389,0.0026948,0,0.0311552,0.0028261,0.0025465,0,0.0001253,0.0047172,0.0045424,0.0112536,0.0020959,0.0020727,0.001068,0.0003099,0,0,0,0.0100345,0.0032709,0.0010716,0.0014523,0.0186508,0.0005077,0.0014132,0.01453,0.0211454,0,0,0.0008521,0,0.0062521,0,0.0025559,0.0044886,0,0.0186164,0,0,0,0.0037096,0.0446818,0.0657987,0,0.0049401,0,0.0013127,0.0008238,0,0,0.0048318,0.0009249,0.0018625,0,0.0064011,0.0071509,0.0031516,0,0.0117277,0,0,0,0.0269381,0.001909,0,0.0022538,0,0.0113645,0.1032298,0.0053837,0,0,0,0,0,0,0,0,0,0,0.0005507,0.0182152,0.004009,0.0042959,0,0,0,0,0,0,0.0006268,0,0,0,0,0,0,0.0155925,0,0,0,0,4,2,102405
102802_s3,0.0003434,0.0039052,0,0.0318725,0.0419109,0.0025306,0.013861,0.0156048,0.0019777,0.0002182,0.0256495,0.0014529,0.0303891,0.0315178,0,0,0.0220333,0.0004098,0.0001025,0,0.0175208,0.0093012,0,0.0023293,0,0,0,0.0345402,0.0015507,0.0254175,0,0.0036334,0.0074433,0,2.48e-05,0,0.0001789,0,0.060192,0,0.1114029,0.007286,0,0.0237597,0,0.0087082,0,0,0.0273056,0.0001046,0.0037857,0.002716,0,0,0,0,0.0001844,0.0010004,0.0024442,0.0008683,0.0108531,0,0.000133,0,0,0,0.0088642,0.007854,0,0.0100251,0.0751985,0,0.0051543,0.0005857,0.0014956,0.000475,8.95e-05,0,0.0003266,0.0027746,0.0047782,0.0007211,0.001009,0.0570712,0.0279627,0.0384482,0.0132366,0.0017499,0.0043336,0,0,0,0.0021039,0.0029011,0,0.0004119,0.0001903,0,0.0003169,0,0.0165935,0.0007101,0,0.00184,3,2,102802
102802_s4,0.000326,0.0031148,0,0.0239417,0.0230762,0.0008641,0.0047922,0.0044834,0.0047257,5.48e-05,0.0350272,0.0018756,0.0158355,0.0181923,0,0,0.006978,0.0002051,0.0001174,0,0.0182477,0.0263279,0,0.0018135,0,0,0,0.0380719,0.0017053,0.011744,0,0.0118171,0.0312672,0,0.0002507,0,6.45e-05,0,0.1259665,0,0.1604544,0.0160363,0,0.0113425,0,0.003865,0,0,0.0529406,0,0.0014403,0.0059502,0,0,0,0,0.0005922,0,0.0030145,0,0.0150564,0,0,0,0.0007502,0,0.0119601,0.0057199,0,0.0179656,0.0854532,0,0.0014129,0.000194,0.0007671,0,2.08e-05,0,1.09e-05,0.0028835,0.0018765,0.0003095,0.0017089,0.0254752,0.0152571,0.0188851,0.0066293,0.0008176,0.0026792,0,0,0,0.0003919,0.0003412,0,0.0001263,0,0,0,0,0.0029264,0.0003219,0,0.001094,4,2,102802
102854_s3,0.0043975,0,0.0340985,0,0,0,0.0109076,0.0004302,0,0,0.0137457,0.0096765,0.0015013,0.0028867,0.0032944,0.0006625,0.0017499,2.4e-05,0.0432646,0,0.000516,0.0487902,0.0689119,0.0233386,0,0.0022088,0.0008588,0.0005479,0.0010499,0,0,0.0116413,0,0.0031085,0.0091312,0.0018146,0,0.0214233,0.0326798,0.0011835,0.0324505,0.003463,0.0136069,0,0,0.0001493,0,0,0.0009253,0.0262489,0,0,0,0.0009193,0.0034765,0,5.45e-05,0.0090333,0.0078702,0.0157964,0.011004,4.64e-05,0,0,0.0168158,0.0057323,0.0082435,0.0019925,0.0042749,0.0581634,0.154238,0.0005543,6.43e-05,0,6.67e-05,0.000679,0,0.0006663,0,0,0.0081366,0,0.0947109,0.016186,0,0.0101957,0.0005389,0,0.023934,0,0.0001909,0.0005698,0.0007077,0,0.0004108,0.001347,0,0.0005196,0,0.0011016,0.0118503,0.001301,0.0006429,0,3,2,102854
102854_s4,0.0052603,0,0.0110388,0.0005226,0,0,0.0082519,0.0039288,0,6.53e-05,0.0174021,0.0041354,0.002113,0.0018998,0.0005633,0.0001422,0.0007564,0,0.1871345,0,0.003665,0.0339052,0.0226729,0.003155,0,0.0372325,0.0040672,0.0005107,0.009993,0,0,0.008958,0,0.0009779,0,0.0043692,0,0.0094521,0.0395871,0.0003944,0.0300011,0.0093996,0.0222437,0,0,5.56e-05,0,0,0.001728,0.0630247,0,0,0,0.0004728,0.0005235,0,0.0003106,0.0102073,0.0076345,0.0452169,0.0087689,0.0003215,0,0,0.0164018,0.0018309,0.005116,0.0024424,0.0032624,0.0231399,0.0990933,0,0,0,0,0.0005937,0,0.0039209,0,0,0.0001079,0,0.0644119,0.0125925,0,0.0046821,0.000408,0,0.0022372,0,0,0.0003719,0.0006939,0,0.0001316,0.0001959,0,0,0,0.0014411,0.0121543,0.0001726,4.86e-05,0,4,2,102854
103041_s3,0.001102,0,0.0237356,0.0006218,0,0.0028066,0.0004703,0.0002058,0,4.13e-05,0.0039012,0.0024791,0.001622,0.0019376,7.09e-05,0.0003418,0.0005525,0,0.0038636,0,0.0002001,0,0.028439,0.0029968,0.0095153,0,0.0007913,0.0029231,0.0053281,0,0,0.0040307,0.0751267,0.006424,0.0027766,0,0.0004494,0.0013581,0.0751844,0,0.058983,0.0004649,0.0001293,0.001313,0.0002741,2.92e-05,0,0.0011147,0,0.0004942,9.15e-05,0,0.0002056,0.0041352,0.00264,0,6.29e-05,0.0014197,0.019413,0,0.0200395,0,0,0.1469305,0.0134639,0,0.0122555,0.0017289,0.0039844,0.0387221,0.0125092,0.0180506,3.21e-05,0,6.23e-05,0.0001911,0,0.0016964,0,0,0.0030801,0.0001704,0.0503159,0.0071128,0.0179442,0.0035887,0.0001859,8.89e-05,0,0,0,0.0011857,0.000198,0.000141,0,0,0,0.0004326,0,0.0025714,0,0,0,0,3,2,103041
103041_s4,0.0019476,9.72e-05,0.0260953,0.0012399,0,0.00544,0.0004563,0.0005171,0,2.77e-05,0.0107379,0.0025241,0.0034599,0.0015162,0.001038,0.0009009,0.0023254,0,0.0228929,0,7.56e-05,1.3e-05,0.0235431,0.0013972,0.0235079,0.0008968,0.0008409,0.0076199,0.0006912,0,0,0.0030805,0.0543864,0.0024523,0,0,0.0004479,0,0.0531587,7.24e-05,0.0707835,2.97e-05,0,0.0006944,0.0040766,0.0001439,0,0,0,0,0.0002184,0,0.0006029,0.0025414,0.0033056,0,0,0,0.007725,0,0.010409,0,1.59e-05,0.0581669,0.0087008,0,0.0051465,0.002262,0.0031974,0.0282335,0.0120954,0.0062841,0.0001458,7.23e-05,0.0003534,0.0001319,0,0,0,0,0.0009862,0.000192,0.0770723,0.0082092,0.0210241,0.0056123,0.0001064,0.0001965,0,0,0,0.0014733,0.0006967,4.37e-05,0,0.0001862,0,0.0001943,0,0.0008651,0.0001726,0,0,0,4,2,103041
103068_s1,0.0117932,0,0.0163627,0.0005561,0,0.0046323,0.0005476,0.0004524,2.86e-05,0.0001735,0,0.0001466,0.0022514,0.0066361,0,0.0001769,0,0.0013187,0.004391,0.0029494,0,0.0790126,0.0678651,0.0004487,0,3.31e-05,0.0003625,0.0098939,0,0,0,0.0110619,0.0211844,0.0100457,0.015464,0.0018872,0,0,0,0,0.1090859,0,0.0211503,0,0,0.0053789,0,0.0003119,0.000864,0.0030329,0.0001946,0,0,0.0004097,0.0265079,0,0,0.0022378,0.0134872,0.0013681,0.0906181,0.00039,0,0.0126057,0.0296515,0,0.0303691,0.0012067,0.0007454,0.0188249,0.0646638,0,0.0001738,6.96e-05,0.0001959,0.0030313,0.0001143,0.0010706,0,0.0075934,0.009747,0.0024034,0.0084519,0.005106,0.0220024,0.0404945,2.05e-05,0.0019666,0.0343499,0.00047,0.0321043,0.0005725,0.0021857,0,0.065756,0.0006015,0.0067257,0.0016669,0.0037175,0.0005775,0,0.0008319,0,0.000258,1,1,103068
103068_s2,0.0141308,0,0.0084295,0,0,0.0057104,0.0001256,4.02e-05,0.0004961,0.0001011,0,5.8e-05,0.0019608,0.0063385,0,0,0,0.0014759,0.0081995,0.0016503,0,0.0948008,0.0491579,0.0002378,0,0,0.0002721,0.0092921,0,0,0,0.012509,0.047582,0.0134201,0.00914,0.002154,0,0.0007644,0,0,0.141357,0,0.0136606,0,0,0.0001071,0,0,0.0016001,0.0029625,0,0.0003651,0,0.0005911,0.0245005,0,0,0.0011046,0.0204413,0.0014269,0.1064713,7.28e-05,0,0.0127118,0.0150008,0,0.0419855,0.0001207,0.0014441,0.0185885,0.0471695,0,7.9e-06,1.67e-05,0.0001592,0.0026628,6.1e-05,0.0008767,0,0.0094645,0.007902,0.0021161,0.0086209,0.0035843,0.0282482,0.0246732,2.58e-05,0.0016844,0.0573356,0.0004976,0.0186999,0.0004725,0.0009656,0,0.0495685,0.0009528,0.005507,0.0019392,0.001799,0.0015286,0,0.0012478,0,0.000157,2,1,103068
103068_s3,0.0168891,0,0.0018764,0.0007737,0,0.0006991,0.000259,0.0030139,0,0.0004341,0.0019681,6.65e-05,0.0023391,0.0007159,0,5.21e-05,0,0.0002504,0.0193104,0.0102998,0,0.0730402,0.076286,0.0008214,0,0,0.0003599,0.0177983,0,0,0,0.0070345,0.0317768,0.0049297,0.0014909,0.0019435,0,0.0040903,0,0,0.0991141,0,0.0119693,0.0093527,0,0.0001143,0,0,0.0003933,0.0001538,0,0.0015445,0,0.0008714,0.0179219,0,0,0,0.0122417,0,0.11114,0.00024,0,0.0314783,0.0144526,0,0.0638058,0.0019394,0.0013091,0.0608319,0.0585418,0,3.97e-05,1.97e-05,9.41e-05,0.0005966,4.47e-05,0.0006079,0,0.0043014,0.0039877,0.0020251,0.0315602,0.0082243,0.0054275,0.0203094,2.9e-05,0.0019207,0.0001714,0.0026853,0.0221099,0.000364,0.004519,0,0.0413819,0.0004666,0.0092229,0.0104769,0.0015418,0.001455,0,0.0035667,0,0.0004389,3,2,103068
103068_s4,0.0056038,0,0.0049224,0.0009437,0,0.0023172,0.0005715,0.0056864,0,7.71e-05,0.0008452,1.84e-05,0.0003671,0.0022157,0,7.9e-06,0,0.0002415,0.0200192,0.0057087,0,0.123078,0.0814367,0.0006132,0,4.9e-05,0.0002787,0.0087246,0,0,0,0.0124476,0.0218029,0.0014729,0.0007793,0.0030374,0,0.0049444,0,0,0.0892868,0,0.0192592,0.0227036,0,0.0009392,0,0,0.0007176,0.0002483,0,0.0118741,0,0.0008087,0.0055166,0,0,0,0.0127953,0,0.0893713,0.0002588,0,0.0204743,0.0126948,0,0.0476612,0.0029223,0.0011645,0.0555544,0.08976,0,0,0,3.06e-05,8.7e-05,4.8e-06,0.0011375,0,0.0023916,0.0008783,0.0010084,0.0230694,0.0057933,0.0311886,0.0085579,1.69e-05,0.0007645,1.69e-05,0.0016331,0.0074194,0.0002752,0.0033531,0,0.0377657,0,0.0090182,0.0064509,0.0003147,0.0013617,0,0.002091,0,0.000324,4,2,103068
