Run	Altitude	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	center_name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Depth	elev	env_biome	env_feature	env_material	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	host_body_habitat	host_body_product	Host_diet	Host	host_subject_ID	host_taxid	included_final_analysis	INSTRUMENT_MODEL	Instrument	lat_lon	library_construction_protocol	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	platform	ReleaseDate	samp_collect_device	samp_mat_process	Sample Name	Spiro_remove	SRA Study	wild_captive
SRR2866551	0	AMPLICON	289	443147	PRJNA300589	SAMN04226402	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	378149	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400327	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1271	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1271	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1271	keep	SRP065516	captive
SRR2866552	0	AMPLICON	170	2154345	PRJNA300589	SAMN04226403	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1785666	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400328	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1272	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1272	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1272	remove	SRP065516	captive
SRR2866553	0	AMPLICON	307	1526683	PRJNA300589	SAMN04226404	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1239663	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400329	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1285	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1285	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1285	keep	SRP065516	captive
SRR2866554	0	AMPLICON	332	2905832	PRJNA300589	SAMN04226405	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	2284277	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400330	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1286	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1286	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1286	keep	SRP065516	captive
SRR2866555	0	AMPLICON	302	1252604	PRJNA300589	SAMN04226406	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1018938	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400331	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1289	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1289	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1289	keep	SRP065516	captive
SRR2866556	0	AMPLICON	320	1342431	PRJNA300589	SAMN04226407	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1093520	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400332	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1292	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1292	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1292	keep	SRP065516	captive
SRR2866557	0	AMPLICON	309	1105178	PRJNA300589	SAMN04226408	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	910310	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400333	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1310	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1310	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1310	keep	SRP065516	captive
SRR2866558	0	AMPLICON	325	1918707	PRJNA300589	SAMN04226409	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1540709	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400334	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1322	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1322	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1322	keep	SRP065516	captive
SRR2866559	0	AMPLICON	335	2114658	PRJNA300589	SAMN04226410	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1679932	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400335	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1324	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1324	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1324	keep	SRP065516	captive
SRR2866560	0	AMPLICON	343	1680308	PRJNA300589	SAMN04226411	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1355746	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400336	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1325	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1325	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1325	keep	SRP065516	captive
SRR2866561	0	AMPLICON	267	3470304	PRJNA300589	SAMN04226385	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	2495682	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400337	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1104	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1104	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1104	keep	SRP065516	captive
SRR2866562	0	AMPLICON	347	4619663	PRJNA300589	SAMN04226412	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	3677094	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400338	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1340	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1340	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1340	keep	SRP065516	captive
SRR2866563	0	AMPLICON	360	426316	PRJNA300589	SAMN04226413	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	365417	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400339	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1345	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1345	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1345	keep	SRP065516	captive
SRR2866564	0	AMPLICON	176	185379	PRJNA300589	SAMN04226414	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	184806	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400340	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1348	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1348	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1348	keep	SRP065516	captive
SRR2866565	0	AMPLICON	330	2724539	PRJNA300589	SAMN04226415	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	2157764	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400341	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1356	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1356	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1356	keep	SRP065516	captive
SRR2866566	0	AMPLICON	170	102830	PRJNA300589	SAMN04226416	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	117343	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400342	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1365	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1365	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1365	keep	SRP065516	captive
SRR2866567	0	AMPLICON	323	2288070	PRJNA300589	SAMN04226417	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1826535	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400343	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1373	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1373	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1373	keep	SRP065516	captive
SRR2866568	0	AMPLICON	338	1793553	PRJNA300589	SAMN04226418	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1447418	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400344	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1376	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1376	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1376	keep	SRP065516	captive
SRR2866569	0	AMPLICON	305	1764581	PRJNA300589	SAMN04226419	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1421829	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400345	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1385	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1385	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1385	keep	SRP065516	captive
SRR2866570	0	AMPLICON	328	2466082	PRJNA300589	SAMN04226420	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1980226	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400346	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1388	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1388	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1388	keep	SRP065516	captive
SRR2866571	0	AMPLICON	348	1923200	PRJNA300589	SAMN04226421	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1543038	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400347	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1392	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1392	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1392	keep	SRP065516	captive
SRR2866572	0	AMPLICON	275	9804040	PRJNA300589	SAMN04226386	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	6777783	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400348	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1135	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1135	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1135	remove	SRP065516	captive
SRR2866573	0	AMPLICON	335	4687101	PRJNA300589	SAMN04226422	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	3715537	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400349	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1394	101841	no	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1394	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1394	keep	SRP065516	captive
SRR2866574	0	AMPLICON	348	4186620	PRJNA300589	SAMN04226423	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	3318417	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400350	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1400	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1400	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1400	keep	SRP065516	captive
SRR2866575	0	AMPLICON	301	2005031	PRJNA300589	SAMN04226424	"MIMS.me,MIGS/MIMS/MIMARKS.host-associated"	1446007	UNIVERSITY OF COLORADO BOULDER	JCVI	2010	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	0	0	tropical broadleaf forest biome	animalia-associated habitat	feces	SRX1400351	USA	North America	USA	rectum	stool	high fat	Chlorocebus aethiops aethiops	1413	101841	yes	454 GS FLX Titanium	454 GS FLX Titanium	35.97 N 78.52 W	16S	TAD1413	SINGLE	PCR	METAGENOMIC	primate metagenome	LS454	LS454	2015-11-04T00:00:00Z	swab	RNALater	TAD1413	remove	SRP065516	captive
