Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_source,source_name,SRA Study,diet,Time,quality_book_char (run)
SRR094691,OTHER,36,275658192,PRJNA136593,SAMN00191538,129843222,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038844,GSM656933,Illumina Genome Analyzer II,GSM656933: D3_10_m11,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656933,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09053,mouse feces,SRP005394,,,
SRR094692,OTHER,36,1067386680,PRJNA136593,SAMN00191539,694954789,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038845,GSM656934,Illumina Genome Analyzer II,GSM656934: D3_10_m12,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656934,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09052,mouse feces,SRP005394,,,
SRR094693,OTHER,36,994281840,PRJNA136593,SAMN00191540,581269236,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038846,GSM656935,Illumina Genome Analyzer II,GSM656935: D3_10_m13,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656935,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09053,mouse feces,SRP005394,,,
SRR094694,OTHER,36,908262216,PRJNA136593,SAMN00191541,401864679,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038847,GSM656936,Illumina Genome Analyzer II,GSM656936: D4_10_m1,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656936,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09057,mouse feces,SRP005394,,,
SRR094695,OTHER,36,966992292,PRJNA136593,SAMN00191542,467469559,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038848,GSM656937,Illumina Genome Analyzer II,GSM656937: D4_10_m2,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656937,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09054,mouse feces,SRP005394,,,
SRR094696,OTHER,36,613332648,PRJNA136593,SAMN00191543,453739736,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038849,GSM656938,Illumina Genome Analyzer II,GSM656938: D4_10_m3,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656938,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09052,mouse feces,SRP005394,,,
SRR094697,OTHER,36,636531804,PRJNA136593,SAMN00191544,472386877,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038850,GSM656939,Illumina Genome Analyzer II,GSM656939: D4_10_m4,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656939,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09056,mouse feces,SRP005394,,,
SRR094698,OTHER,36,1027969812,PRJNA136593,SAMN00191545,570706028,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038851,GSM656940,Illumina Genome Analyzer II,GSM656940: D4_10_m5,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656940,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09053,mouse feces,SRP005394,,,
SRR094699,OTHER,36,626046192,PRJNA136593,SAMN00191546,456082596,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038852,GSM656941,Illumina Genome Analyzer II,GSM656941: D4_10_m6,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656941,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09058,mouse feces,SRP005394,,,
SRR094700,OTHER,36,641499624,PRJNA136593,SAMN00191547,468731433,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038853,GSM656942,Illumina Genome Analyzer II,GSM656942: D4_10_m7,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656942,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09051,mouse feces,SRP005394,,,
SRR094701,OTHER,36,1035436644,PRJNA136593,SAMN00191548,575180639,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038854,GSM656943,Illumina Genome Analyzer II,GSM656943: D4_10_m8,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656943,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09055,mouse feces,SRP005394,,,@
SRR094702,OTHER,36,1086644448,PRJNA136593,SAMN00191549,621944537,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038855,GSM656944,Illumina Genome Analyzer II,GSM656944: D4_10_m9,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656944,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09058,mouse feces,SRP005394,,,
SRR094703,OTHER,36,993332880,PRJNA136593,SAMN00191550,521860712,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038856,GSM656945,Illumina Genome Analyzer II,GSM656945: D4_10_m10,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656945,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09049,mouse feces,SRP005394,,,@
SRR094704,OTHER,36,1026267876,PRJNA136593,SAMN00191551,577060037,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038857,GSM656946,Illumina Genome Analyzer II,GSM656946: D4_10_m11,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656946,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09059,mouse feces,SRP005394,,,@
SRR094705,OTHER,36,1158529932,PRJNA136593,SAMN00191552,742507789,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038858,GSM656947,Illumina Genome Analyzer II,GSM656947: D4_10_m12,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656947,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09050,mouse feces,SRP005394,,,
SRR094706,OTHER,36,1041922512,PRJNA136593,SAMN00191553,715869011,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038859,GSM656948,Illumina Genome Analyzer II,GSM656948: D4_10_m13,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656948,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09053,mouse feces,SRP005394,,,
SRR094707,OTHER,36,795432240,PRJNA136593,SAMN00191554,564993136,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038860,GSM656949,Illumina Genome Analyzer II,GSM656949: E1_14_m1,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656949,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09624,mouse feces,SRP005394,,,
SRR094708,OTHER,36,984815208,PRJNA136593,SAMN00191555,599014475,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038861,GSM656950,Illumina Genome Analyzer II,GSM656950: E1_14_m2,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656950,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09620,mouse feces,SRP005394,,,@
SRR094709,OTHER,36,1036758852,PRJNA136593,SAMN00191556,622704069,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038862,GSM656951,Illumina Genome Analyzer II,GSM656951: E1_14_m3,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656951,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09625,mouse feces,SRP005394,,,
SRR094710,OTHER,36,1082192076,PRJNA136593,SAMN00191557,724441413,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038863,GSM656952,Illumina Genome Analyzer II,GSM656952: E1_14_m4,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656952,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09623,mouse feces,SRP005394,,,@
SRR094711,OTHER,36,1133123868,PRJNA136593,SAMN00191558,634683711,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038864,GSM656953,Illumina Genome Analyzer II,GSM656953: E1_14_m8,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656953,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09621,mouse feces,SRP005394,,,
SRR094712,OTHER,36,1051149096,PRJNA136593,SAMN00191559,602751181,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038865,GSM656954,Illumina Genome Analyzer II,GSM656954: E2_14_m1,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656954,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09623,mouse feces,SRP005394,,,
SRR094713,OTHER,36,1091990088,PRJNA136593,SAMN00191560,627669762,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038866,GSM656955,Illumina Genome Analyzer II,GSM656955: E2_14_m4,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656955,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09620,mouse feces,SRP005394,,,@
SRR094714,OTHER,36,1226350620,PRJNA136593,SAMN00191561,734830958,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038867,GSM656956,Illumina Genome Analyzer II,GSM656956: E2_14_m3,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656956,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09621,mouse feces,SRP005394,,,@
SRR094715,OTHER,36,1145533356,PRJNA136593,SAMN00191562,665690781,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038868,GSM656957,Illumina Genome Analyzer II,GSM656957: E2_14_m6,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656957,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09624,mouse feces,SRP005394,,,@
SRR094716,OTHER,36,1139908104,PRJNA136593,SAMN00191563,780106475,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX038869,GSM656958,Illumina Genome Analyzer II,GSM656958: E2_14_m8,SINGLE,cDNA,TRANSCRIPTOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM656958,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria. Mouse was fed Harlan Teklad Diet TD.09622,mouse feces,SRP005394,,,
SRR096951,OTHER,32,319004064,PRJNA136593,SAMN00199351,155654172,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039786,GSM664157,Illumina Genome Analyzer II,GSM664157: E3_14_m7 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664157,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09622,Sample was taken after mouse was on the diet for 14 days.,
SRR096952,OTHER,32,58093728,PRJNA136593,SAMN00199352,27538703,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039787,GSM664158,Illumina Genome Analyzer II,GSM664158: E3_2_m6 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664158,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09053,Sample was taken after mouse was on the diet for 2 days.,
SRR096953,OTHER,32,54084224,PRJNA136593,SAMN00199353,22214371,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039788,GSM664159,Illumina Genome Analyzer II,GSM664159: D3_7_m3 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664159,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09051,Sample was taken after mouse was on the diet for 7 days.,
SRR096954,OTHER,32,151683584,PRJNA136593,SAMN00199354,73184032,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039789,GSM664160,Illumina Genome Analyzer II,GSM664160: E3_7_m2 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664160,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09623,Sample was taken after mouse was on the diet for 7 days.,
SRR096955,OTHER,32,12399648,PRJNA136593,SAMN00199355,5638350,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039790,GSM664161,Illumina Genome Analyzer II,GSM664161: D3_2_m12 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664161,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09052,Sample was taken after mouse was on the diet for 2 days.,
SRR096956,OTHER,32,44624992,PRJNA136593,SAMN00199356,18465770,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039791,GSM664162,Illumina Genome Analyzer II,GSM664162: E2_2_m4 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664162,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09620,Sample was taken after mouse was on the diet for 2 days.,
SRR096957,OTHER,32,15099520,PRJNA136593,SAMN00199357,10864415,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039792,GSM664163,Illumina Genome Analyzer II,GSM664163: D4_14_m9 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664163,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09058,Sample was taken after mouse was on the diet for 14 days.,
SRR096958,OTHER,32,27348160,PRJNA136593,SAMN00199358,18365382,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039793,GSM664164,Illumina Genome Analyzer II,GSM664164: E1_14_m6 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664164,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09053,Sample was taken after mouse was on the diet for 14 days.,
SRR096959,OTHER,32,47256320,PRJNA136593,SAMN00199359,18771557,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039794,GSM664165,Illumina Genome Analyzer II,GSM664165: D3_2_m6 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664165,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09057,Sample was taken after mouse was on the diet for 2 days.,
SRR096960,OTHER,32,66260576,PRJNA136593,SAMN00199360,31124600,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039795,GSM664166,Illumina Genome Analyzer II,GSM664166: E3_4_m5 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664166,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09054,Sample was taken after mouse was on the diet for 4 days.,
SRR096961,OTHER,32,9439936,PRJNA136593,SAMN00199361,6607144,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039796,GSM664167,Illumina Genome Analyzer II,GSM664167: E1_2_m7 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664167,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09053,Sample was taken after mouse was on the diet for 2 days.,
SRR096962,OTHER,32,7602976,PRJNA136593,SAMN00199362,5678182,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039797,GSM664168,Illumina Genome Analyzer II,GSM664168: D2_7_m12 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664168,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09057,Sample was taken after mouse was on the diet for 7 days.,
SRR096963,OTHER,32,4840384,PRJNA136593,SAMN00199363,2506579,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039798,GSM664169,Illumina Genome Analyzer II,GSM664169: D3_4_m3 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664169,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09051,Sample was taken after mouse was on the diet for 4 days.,
SRR096964,OTHER,32,26760960,PRJNA136593,SAMN00199364,11951968,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039799,GSM664170,Illumina Genome Analyzer II,GSM664170: D3_2_m13 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664170,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09053,Sample was taken after mouse was on the diet for 2 days.,
SRR096965,OTHER,32,87996352,PRJNA136593,SAMN00199365,34437447,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX039800,GSM664171,Illumina Genome Analyzer II,GSM664171: E2_2_m2 [COPRO-Seq],SINGLE,other,GENOMIC,[Clostridium] symbiosum,ILLUMINA,2011-05-24T00:00:00Z,GSM664171,Fecal pellet from a mouse (c57Bl6) colonized with 10-gut bacteria,mouse feces,SRP005394,Mouse was fed Harlan Teklad Diet TD.09052,Sample was taken after mouse was on the diet for 2 days.,
