"","Blautia_wexlerae","Blautia_coccoides","Roseburia_faecis","Blautia_sp_CAG_257","Roseburia_hominis","Dorea_formicigenerans","Ruminococcus_gnavus","Tyzzerella_nexilis","Eubacterium_hallii","Gemella_haemolysans","Eubacterium_eligens","Hungatella_hathewayi","Dialister_invisus","Anaerostipes_hadrus","Ruminococcus_bromii","Clostridium_neonatale","Eubacterium_sp_CAG_38","Staphylococcus_aureus","Alistipes_putredinis","Anaerostipes_caccae","Alistipes_finegoldii","Bacteroides_dorei","Roseburia_intestinalis","Roseburia_inulinivorans","Streptococcus_mitis","Bacteroides_ovatus","Staphylococcus_hominis","Enterococcus_faecalis","Rothia_mucilaginosa","Bacteroides_caccae","Streptococcus_sp_A12","Sellimonas_intestinalis","Veillonella_dispar","Veillonella_rogosae","Streptococcus_peroris","Veillonella_parvula","Veillonella_atypica","Bacteroides_fragilis","Bacteroides_vulgatus","Bacteroides_uniformis","Streptococcus_infantis","Lachnospira_pectinoschiza","Lactobacillus_rhamnosus","Staphylococcus_epidermidis","Veillonella_infantium","Staphylococcus_lugdunensis","Clostridium_bolteae_CAG_59","Flavonifractor_plautii","Clostridium_bolteae","Streptococcus_salivarius","Eggerthella_lenta","Clostridium_citroniae","Anaerotruncus_colihominis","Veillonella_sp_T11011_6","Clostridium_aldenense","Clostridium_symbiosum","Enorma_massiliensis","Streptococcus_thermophilus","Streptococcus_parasanguinis","Parabacteroides_merdae","Bacteroides_thetaiotaomicron","Clostridioides_difficile","Clostridium_clostridioforme","Faecalibacterium_prausnitzii","Sutterella_parvirubra","Varibaculum_cambriense","Agathobaculum_butyriciproducens","Parabacteroides_distasonis","Gordonibacter_pamelaeae","_Collinsella__massiliensis","Haemophilus_sputorum","Collinsella_stercoris","Escherichia_coli","Actinomyces_sp_HMSC035G02","Ruthenibacterium_lactatiformans","Collinsella_aerofaciens","Eubacterium_rectale","Fusicatenibacter_saccharivorans","Intestinibacter_bartlettii","Actinomyces_odontolyticus","Klebsiella_oxytoca","Collinsella_intestinalis","Haemophilus_sp_HMSC71H05","Turicibacter_sanguinis","Akkermansia_muciniphila","Actinomyces_sp_oral_taxon_181","Aeriscardovia_aeriphila","Bifidobacterium_breve","Haemophilus_parainfluenzae","Bilophila_wadsworthia","Bifidobacterium_longum","Bifidobacterium_bifidum","Bifidobacterium_dentium","Coprobacillus_cateniformis","Clostridium_innocuum","Intestinimonas_butyriciproducens","Bifidobacterium_adolescentis","Parasutterella_excrementihominis","Clostridium_spiroforme","Bifidobacterium_pseudocatenulatum","Erysipelatoclostridium_ramosum","Group"
"12_12M",0,0,0,0,0,0,0.1458633,0,0,0,0,0,0.0009502,0,0,0.0007587,0,0,0,8e-04,0,0.4137308,0,0,5.5e-05,0,0,0,7.99e-05,0,0,0,9.3e-05,0,0,0.0032046,0.0021293,0,2.24e-05,0,0,0,0,0,0.0001084,0,0,0.0043282,0,0.0017268,0.005024,0.0048418,0,0,0,0,0,0,0.0003073,0,0,0.0005076,0.0006101,0,0,0,0,0,0.0008336,0,0,0,0,0.0002585,0,0,0,0,0,3.82e-05,0,0,0.0008908,0.0034598,0.0089101,0,0,0,0.0004492,0,0,0,0,0,0.0103743,0,0,0,0,0,0.0004405,"12M"
"12_4M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000316,0,1.77e-05,0,0,0,0.3303647,0,0,0.0001288,0,0,0,0.0009815,0,0,0,0.0069888,0,4.92e-05,0.0100599,0.1477653,0,0,0,0,0,0,3.65e-05,0.0028739,0,0,0,0,0.0015804,0,0,0,0.000695,0,0,0,0,0.000341,0,0,0,0,0,0,0,0,0.0019541,0,0,0,0,0.2343166,9.75e-05,0,0,0,0,0,0.0002223,0,0,0.0003287,0,0,0,0,0,0.001336,0,0,0,0.1245158,0,0,0,0,0,0,0,0.1125558,"4M"
"128_12M",0.0170407,0,0.0463874,0.0001291,0.0028264,0.0003336,0.0026776,0,0.0014475,0,0.0208473,0.0001464,0.0030226,0.0390441,0.0160851,0,0,0,0.1184677,0,0.006194,0.1029576,0,0,0,0.0098225,0,2.09e-05,0,0,0,0.0003043,5.82e-05,1.3e-05,0,0.0002673,0.0010894,0,0.0035252,0.1876798,0,0.0121425,0,0,2.27e-05,0,0,0.0032942,8.72e-05,0,0.0002375,6.35e-05,0.0011574,0,0,0.000526,1.23e-05,0,5.29e-05,0.0275173,0,0,0.0001141,0.0331621,0,0,0.0006938,0,0.0001296,3.89e-05,0,0.0001203,0.0006592,0,0.0014871,0.0139884,0.0469201,0.0091821,0.0023545,0,0,5.16e-05,2.88e-05,1.12e-05,0.0033469,0,0,0,0,0.0003638,0.0164299,0,7.43e-05,0.0008225,0.0010707,0.0006534,0.0266582,9.94e-05,0,0,0.0001775,"12M"
"128_4M",0,0,0.0006723,0,0,0,0,0,0,0,0,0,0,0.0017339,0,0,0,0.0013403,0,0,0.0002789,0.0020817,0,0,0.0008443,0,0,0.0714447,9.9e-06,0,0,0,4.98e-05,1.63e-05,1.53e-05,0.2551464,0.0288816,0,0.01739,0.0322187,0,0,0,0.0014804,0,0,0.0007595,0.0005135,0.0019979,0,9.39e-05,0,0,0,0,0,0,0,0.0007345,0,0,0,0,2.55e-05,1.24e-05,0,0,0,2.4e-06,0,0,0,0.2054175,0,0,0,0,0.0936862,0,0,6.21e-05,0,6.09e-05,0,0,0.0002957,0.0001518,0,0.0004089,0,0.0201526,0,0,0,5.07e-05,0,0.1186202,0,0,0,0.0172208,"4M"
"128_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012122,0,4.61e-05,0.0731955,0.00522,0,0,0,0,0,0,0,0,0,0.0804641,0,0,0,0,0.0023311,0,0.0001975,0,0.1065331,0,0.000158,0,0,0,0,0,0,0,0,0.0007549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4783097,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61e-05,0,0,0,0.0664218,0,0,0,0.1844176,0,0,0,0,0,0,"B"
"12_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189444,0,0,0,0.0037499,0,0,0.0001523,0.0006519,0,0,0,0,0,0,0,0,0.1985926,0.0015577,0,0,0,0.0016105,0,0.0001995,0,0,0,0.0005883,0.0003308,0,0,0,0,0,0,0,0.0004965,0,0.0006645,0,0,0,0,0,0,0.3931958,2.27e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241032,0,0,0,0,0,0,0,0.0097291,"B"
"130_12M",0.2097411,0.0008316,4.74e-05,0,0,0,0.048767,0,0.0312152,0,0,0.0026376,0,0.0747248,0.0002296,0.0002468,0,2.09e-05,0,0.0005711,0,0,0.0001816,0,8.16e-05,7.56e-05,0.0003203,0,0.0003086,0,4.22e-05,0,0.0002073,0,0,0,0,0.2695457,0.0001603,0.0004216,6.83e-05,8.38e-05,0,0,2.28e-05,0,0,0.0085677,0.0064492,0,0.0035372,0,0,0,0,0.0104562,0,4.36e-05,0.000277,0,0.0881758,0.0026167,0.0044572,0.0001923,0,0,0,0,0.0005225,0,0,0,0.0956033,3.72e-05,0,0,0.0001876,9.6e-06,0,1.69e-05,0,0,0.0001002,0.0005731,0.0025041,3.2e-06,0,0,3.24e-05,0,0.0057535,0,0,0,0.070548,0,0,0,0.0003087,2.6e-06,0.0332672,"12M"
"133_12M",0.0177036,0,0.2269492,0,0.0016716,0,0.0133964,0.0002517,0.0083632,0,0.0018998,0.0005191,0.0012665,0.0161988,0.031997,0,0.0119483,0,0.0211499,0,0.0649371,0,0.0235515,0.00334,0,0,0,0.0003216,0,0.0770692,0,0,0.0003133,1.27e-05,0,0.0001105,7.85e-05,0.0024969,0.0689017,0.0800493,0,0,0,0,8.45e-05,0,0,0.0044974,0.0017805,0.0022138,0.0010157,0.0002236,0.0009825,0,0,0,0,0.0097005,0,0.0312992,0.0149195,0,0.0015319,0.0512907,1.61e-05,0,0,0.0220341,0.0001855,0,2.45e-05,0,0.0030736,0,0.0001663,0,0.002687,0,0.0017508,0,0,0,0.0015746,0,0.0052859,0,0,0.005778,0.001017,0.0004184,0.0027057,1.16e-05,0,2.81e-05,0.0021739,0,0,0.0002247,0.0009269,0.0694986,0.0005787,"12M"
"133_4M",0,0,5.39e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002266,0,0,0,0.0679476,0,0,0.000185,0,0,0.030452,0,0,0,0,0,0,4.4e-06,0.0413051,0.003527,0.1308815,1.46e-05,0.0046028,0,0,0.0006642,0.0002808,0,0,0,0,0,3.64e-05,0.0032203,0,0,0,0,0,0,0,0.0001778,0,0,0,0,0,0,0.0002104,0,0,0.0007818,6.9e-06,0,0,0.0341706,0,0,0,0,0.0130822,0.0001983,0,0,0,0,0,0,1.75e-05,0.0001205,0.3778404,0.0001228,0,0.0123484,0.1608295,0,0,0,0,0.0180643,0,0,0.0412065,0.0021987,"4M"
"133_B",0,0,0.0001025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001347,0,7.8e-06,0.0106967,0,0,0,0,0.0002495,0,0,0.0072028,0,1.7e-06,0,0,0,0,0,0.0222013,7.48e-05,0.0004852,0,0,0,0.0033537,0,0,0,6.7e-06,0,0,0,0,0.0003317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7514098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48e-05,0,0,0,2.02e-05,0,0,0,0,0,0,0,3.77e-05,0,"B"
"137_12M",0.026272,0,0.0095497,0.000155,0.0011809,0,0.0002848,0.0001356,0.0033652,0,0.1228434,0.0005168,0,0.0260961,7.88e-05,0,0.0013418,0,5.67e-05,0,6.08e-05,0.1902181,0.0170457,0,0,0,0,0,2.15e-05,6.31e-05,0,0,2.49e-05,6.81e-05,0,0.0051471,0,0.0880904,0.0076568,8.31e-05,0,0.1609655,0,0,3.5e-05,0,0,0.0016558,0.0011897,0.0006657,0.0003599,3.39e-05,7.25e-05,0,0,0.0005631,0,0,0,0,0,8.13e-05,0.0004149,0.0237254,0,0,0,0.053901,6.3e-05,0,0.0003308,0,0.09612,0,0,0.0010626,0.0002689,0.0039841,9.58e-05,0,0,0,0.0107046,0,0.002351,0,0,0.000829,0.0100957,0,0.0007423,0,0,0,0.0009516,0.0001194,0.0003331,0,0,0,0.0001906,"12M"
"137_4M",0,0,0,0,0,0,0.0145482,0,0,0,6.56e-05,0,0,0,8e-06,0,0,0,0,0,0.038826,6.78e-05,0,0,5.48e-05,0,0,0.0069024,0,0,0,0,0,0,0,0.0002659,0,0.1997022,0,5.7e-06,0,6.18e-05,0.0001116,0,0,0,0,0.0005589,0.00048,1.49e-05,0.0052193,0,0,0,0,0,0,0,8.24e-05,0,0,0,0.005533,9.3e-06,0,3.88e-05,0,0.0784952,0.0007698,0,0,0,0.0102756,0.0001059,0,3.41e-05,2.14e-05,0,0,0.0001026,0,0,0,0,0,0,0.0001214,0.5495083,0,0,0.0138107,0,0,0,0.0015937,0,0.0010553,0,0,0,0.000441,"4M"
"137_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93e-05,2.61e-05,0,0,0.0001165,9.8e-06,0,0.0828358,5.86e-05,0,0,0,0,0,0,0,0,0.7047388,0,0,0,5.5e-06,0,0.0004242,0,0,0,0,0,0.000311,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37e-05,0,0,0,0.0226913,0,0,0,0,0.1840023,0,0,1.2e-05,2.67e-05,0,0,0,0,0,0,0,0,0,0,0.0011364,0,0,0.0024323,0,0,0.0010295,0,0,0,0,0,0,0,"B"
"1_4M",1.22e-05,0,0,0,0,0,0.0339947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1512111,0,0,0,0.0408562,0,0,0,0,0,0,2.49e-05,0,0,0,0,0.1162477,0,0.0001325,0,0,0.000105,5.9e-05,0,0,0,0,0,2.74e-05,0.0015772,0,0,0,0,0,0.0001453,0,0,0.0329137,0,0,0,0,0,0.0039834,0,0.0141805,0.0002295,0.0003205,0,0.0016319,0.0037803,0,0,0.1704789,0,0,0.0038586,0,0,0.0005331,0,0,0.004102,0,3.99e-05,0,0,0.001121,0.1539721,0,0,0,0,0,3.02e-05,0,0,0.2375335,0.0070988,"4M"
"150_12M",0.3601706,0,0,0,0,0,0.185345,0,0,0,0,0.0212071,0,0,0,0.0002345,0,0,0,0,0,0,0,0,0,0.060822,0,0,0,0,0.0001153,0,0,0,0,0,0,0.2244713,0,0,0,0,0,0,0,0,0.000135,0.0035829,0.0443668,0.0001975,0.0008346,0,0,0,0,0.0144306,0,0,0,0,0,0.0028471,0.0049738,0,0,0,0,0,0.0001093,0,0,0,0.0049722,0,0.0004572,0,0,0,0.0007539,0,0,0,0,4.29e-05,0.0107531,0,0,0,8.68e-05,0,2.07e-05,0,0,3.35e-05,0.0314365,0,0,0,0,0,0.003311,"12M"
"150_4M",5.31e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0097277,0,5.1e-06,0,0,0,0,0,0,0.0010471,1.29e-05,0,0.0006408,0.0002626,0,0,0,0,0,6.05e-05,0.0413915,8.73e-05,0.8112141,0,0,0,0,0.0024828,0,0,0,0,0.0042045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000771,0,6.24e-05,0,0,0.0001191,1.03e-05,0,4.65e-05,0,0.0841638,0,0,0,0,0,0,0,0,0,0.0234233,"4M"
"150_B",3.3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8998129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B"
"157_12M",0,0,0.0003917,0,0,0,0.1062415,0,0,0,0,0,0.0008699,0,0,8.04e-05,3.62e-05,0,0.0002057,0,0,0,0,0,0,0.2178205,0,0,0.0001082,0,0.0001108,0,0.0033935,0.0001433,0,0.0004674,0.0683217,0.0076202,0.0002224,0.1015515,0,0,0,0,0.0019558,0,0.0002205,0,0.0047335,0.0039313,0.0008541,0,0,0.000165,0,0,0,0,0.0008658,0,0.3148548,0.001153,0,0.0001014,0.0001259,0,0,0.0569684,9.76e-05,0,0.0009392,0,0.0015217,0,0,2.18e-05,0,0,0.0004915,0,0,0,0,0.0002215,0,0,0,0.0187378,0.0027214,0,0.017581,0,0.0028978,0,0.0036231,0,0.0290901,0,0,0,0.0053021,"12M"
"157_4M",0,0,0.00014,0,0,0,0.0175685,0,0,0,0,0,0,0,0,0,0,1.69e-05,0.0001079,0,0,0,0,0,0.0006358,7.15e-05,0,0,5.24e-05,0,0,0,0.0034771,0,0.0003538,0.1112351,0.0415804,0.1398135,0,9e-05,4.8e-05,0,0,0,0.0007959,0,0,0,0,0,0,0,0,0.0001641,0,0,0,0,0,0,0.0001417,0,0,6.64e-05,3.11e-05,0,0,0,0,0,0,0,0.0815177,6.21e-05,0,0,0,0,0,9.5e-06,0,0,0.0031923,0,0,0,0.0001409,0.4774671,0.0058177,0,4.4e-05,0,0,0,0,0,0,0,0,0,0,"4M"
"172_12M",0.0118906,7.75e-05,0.1785312,0,0,0,0.0145786,0.0004937,0.0068564,0,0.0087918,0.0004732,0,0.0730803,0.0246569,0,0.0009587,0,0.0304868,0,0.0150056,0,0,0.0014884,7.44e-05,0,0,0,0,0,0,0.0128715,0,0,0,0,9.26e-05,0.03589,0.2292198,0.1152336,0,0,0,0,0,0,0,0.001207,0.000677,0.0009028,0.0006158,0.000159,0.0002781,0,0.0002046,0.0019066,0,0.0004882,0.0001184,0,0,0,0.0005349,0.0123285,0,0,0.0016175,0.011071,0.0001686,1.9e-05,0,3.76e-05,0.0022172,0,0.0012305,0.005885,0.0902525,0.0222318,0.0009856,0,0,9.4e-06,0,8.52e-05,0.0119165,0,0,0,0,0.0001902,0.0097513,0,0,0.0001402,0.0046073,0.0020576,0.0106262,0.0007259,0,0,0.0007785,"12M"
"172_4M",0.0473318,0,4.16e-05,0,0,0,0.0810877,8e-06,0,0,0,0.000252,0,0,0,0,0,0,0,0,0,0,0,0.0156158,0.0002114,0,0,0.0072478,0,0,0,0,0,0,0,0.0333751,0,0,5.78e-05,0.1640892,0,0,0,0,0,0,0,0,0,0,0.0019314,0,0,0,0,0,0,0,7.65e-05,0,0,0,0,0,5.67e-05,0,0,0.3419097,0.000279,0,0,0,0.0562332,0,0,0,0.1275122,0,0.0004161,0,0,0,0.0042765,0,0,0,0,0,0.0017224,0,0,0,0,0,0,0,0,0,0,0,0.0285801,"4M"
"172_B",0,0,3.08e-05,0,0,0,0.3288542,0,0,0.0001453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006966,0.0049455,0,0,0.000119,0.0305708,0,0,0,0,0,0,0,0,0.0717897,0.0255685,0,0,0,0.0005726,0,0,0,0,0,0.0019309,6.7e-05,0,0,0,0,0,0,0,0.0010306,0,0,0,0,0,3.05e-05,0,0,0.1310916,0,0,0,0,0.0784943,0,0,0.0003415,2.11e-05,0,0,0,0,0,0,0,0,0,4.03e-05,0,0,0,0.0179404,0.0131692,0,0,0.0182955,0,0.1271628,0,0,0,0,"B"
"179_12M",0.0442611,0,0,0,0,0,0.0088341,0,0,0,0,0,0,0.0515369,0.0459086,0,0,0,0,0.0001191,0,0,0.0412439,0,0,0,0,0,0,0,4.76e-05,0,0,0,0,0.0018357,0.0004753,0,0.170653,0.307803,0,0,0,0,0,0,0.0003518,0.0112004,0.0065724,0.0004144,0,0,0,0,0,0.001801,6.18e-05,0,1.1e-05,0,0,2.19e-05,0.0030513,0,0,0,0,0.0093026,0.0002105,9.1e-05,1.58e-05,0.0002943,0.0012013,0,0,0.0619869,0,0,0.0021432,0,0.0001334,4.61e-05,0,0,0.002709,0,0,0.0065019,0,0,0.0139319,0.0022279,0.0003793,0.0008115,0.0016706,0,0.0116024,0,7.7e-05,0,0.0007432,"12M"
